,Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
0,Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3092369477912,27.3092369477912,27.6859504132231,27.6859504132231,27.3092369477912,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,27.710843373494,,27.8688524590164,27.0161290322581
4,Afghanistan,AFG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,25.625,25.625,25.625,25.625,25.625,25.625,25.625,25.625,25.625,25.625,25.625,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,28.75,38.125,38.125,38.125,38.125,38.125
13,Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16129032258065,5.16129032258065,5.71428571428571,5.71428571428571,5.71428571428571,6.42857142857143,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,16.4285714285714,16.4285714285714,15.7142857142857,15.7142857142857,17.8571428571429,20,20.7142857142857,22.8571428571429,27.8571428571429,27.8571428571429,29.5081967213115,29.5081967213115
17,Albania,ALB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,65,65,65,80,80,80,80,80,80,80,80,80,80,80,82.5,82.5,82.5,85.625,85.625,85.625,85.625,85.625,85.625,91.25,91.25,91.25,91.25,91.25
26,Algeria,DZA,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15789473684211,3.15789473684211,3.15789473684211,3.42105263157895,3.42105263157895,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,6.16966580976864,7.7120822622108,7.7120822622108,7.7120822622108,7.7120822622108,7.96915167095116,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,31.6017316017316,25.7575757575758,25.7575757575758,25.7575757575758,25.7575757575758
30,Algeria,DZA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,30,30,30,30,30,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,35.625,38.125,38.125,38.125,38.125,38.125,38.125,43.75,43.75,43.75,43.75,43.75,43.75,43.75,40.625,40.625,40.625,40.625,40.625,40.625,40.625,40.625,55,55,55,55,55,55,55,55,55,55,55,57.5,57.5,57.5,57.5,57.5
39,American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,American Samoa,ASM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,28.5714285714286,28.5714285714286,28.5714285714286,25,35.7142857142857,35.7142857142857,50,50,50,50,39.2857142857143,32.1428571428571,32.1428571428571,32.1428571428571,46.4285714285714,46.4285714285714
56,Andorra,AND,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
